# E          M           C            S
-1.42900000  0.82849997  3.03744486  0.47772190
-1.71050000  0.91049999  2.32580789  0.38715889
-1.82100000  0.94849998  1.39808906  0.18870356
-1.85850000  0.95950001  1.11590703  0.16230487
-1.90100000  0.97350001  0.67860183  0.08008208
-1.93200000  0.98100001  0.38258202  0.05651406
-1.92850000  0.98175001  0.39233900  0.03923788
-1.93250000  0.98224998  0.39097404  0.04407139
-1.94700000  0.98624998  0.23528625  0.02617735
-1.95900000  0.98925000  0.18165892  0.02364075
-1.95550000  0.98850000  0.18570981  0.01981657
-1.95000000  0.98699999  0.21283482  0.02406953
-1.95400000  0.98825002  0.19618797  0.02008661
-1.93700000  0.98374999  0.25175017  0.02936027
-1.95000000  0.98675001  0.23746034  0.02897323
-1.94950000  0.98675001  0.20984282  0.02366795
-1.94950000  0.98724997  0.22215558  0.02181688
-1.94200000  0.98474997  0.25776583  0.03168437
-1.94500000  0.98500001  0.27598168  0.04071582
-1.93200000  0.98199999  0.32629513  0.03900262
-1.94500000  0.98549998  0.24783823  0.03092675
-1.93600000  0.98275000  0.34584075  0.04757241
-1.93500000  0.98175001  0.32910244  0.05051122
-1.94450000  0.98525000  0.23953416  0.03250588
-1.93950000  0.98374999  0.22665853  0.02936027
-1.93600000  0.98350000  0.31066144  0.03358350
-1.94600000  0.98624998  0.23981031  0.02485118
-1.94200000  0.98525000  0.21730963  0.02189593
-1.94650000  0.98650002  0.25513970  0.02459063
-1.94700000  0.98624998  0.20890177  0.02485118
-1.92850000  0.98124999  0.32901625  0.03638951
-1.95150000  0.98699999  0.22354868  0.02804802
-1.93250000  0.98049998  0.42087646  0.07023609
-1.94300000  0.98500001  0.31837978  0.03607393
-1.95400000  0.98724997  0.23488521  0.03110129
-1.94250000  0.98525000  0.26960543  0.02919015
-1.94650000  0.98624998  0.23755004  0.02551395
-1.96250000  0.98949999  0.19150736  0.02734478
-1.94650000  0.98525000  0.26745246  0.04112689
-1.93700000  0.98350000  0.28517051  0.03490967
-1.93650000  0.98325002  0.29264084  0.03316358
-1.93600000  0.98250002  0.33704592  0.04582190
-1.95200000  0.98750001  0.21245488  0.02287807
-1.95200000  0.98774999  0.20190109  0.02128566
-1.94500000  0.98575002  0.19155134  0.02072281
-1.95150000  0.98750001  0.19892316  0.02155190
-1.96100000  0.99000001  0.16167707  0.01750637
-1.95300000  0.98699999  0.22895398  0.03600563
-1.94650000  0.98624998  0.20237073  0.02219886
-1.95800000  0.98949999  0.14941356  0.01408251
-1.94050000  0.98449999  0.32776386  0.03591267
-1.92950000  0.98124999  0.34760499  0.04368435
-1.93850000  0.98425001  0.23635395  0.02422447
-1.95550000  0.98874998  0.16987912  0.01689357
-1.94750000  0.98624998  0.28754688  0.03280880
-1.94100000  0.98425001  0.30795263  0.04013970
-1.93250000  0.98100001  0.38217922  0.05518789
-1.96150000  0.99000001  0.16282919  0.01750637
-1.94500000  0.98525000  0.25135616  0.03051695
-1.95500000  0.98825002  0.18451548  0.02207617
-1.94600000  0.98600000  0.21694376  0.02510921
-1.95050000  0.98750001  0.17360813  0.01691001
-1.94600000  0.98600000  0.23805135  0.02510921
-1.93700000  0.98275000  0.32210879  0.04757241
-1.94750000  0.98474997  0.32448515  0.05157810
-1.94950000  0.98699999  0.21687868  0.02274336
-1.95150000  0.98675001  0.24113833  0.03494129
-1.93800000  0.98299998  0.33705999  0.04666870
-1.94750000  0.98624998  0.21542929  0.02485118
-1.94750000  0.98575002  0.24005481  0.03531188
-1.93200000  0.98224998  0.26824927  0.02881956
-1.94300000  0.98525000  0.25505703  0.02720122
-1.94750000  0.98650002  0.22950102  0.02326447
-1.94950000  0.98699999  0.26437075  0.02871142
-1.93950000  0.98325002  0.31108887  0.04775202
-1.95050000  0.98675001  0.19999261  0.02433134
-1.95900000  0.98975003  0.16758719  0.01579444
-1.95000000  0.98724997  0.19876310  0.01982795
-1.94100000  0.98474997  0.23759402  0.02637909
-1.93350000  0.98250002  0.33562996  0.03720152
-1.93500000  0.98275000  0.29920002  0.04293052
-1.94050000  0.98350000  0.31369214  0.04485621
-1.93950000  0.98400003  0.30932990  0.03773401
-1.93100000  0.98075002  0.33940294  0.04945004
-1.94100000  0.98449999  0.23055815  0.02795505
-1.94600000  0.98624998  0.22573859  0.02352502
-1.93900000  0.98425001  0.24997713  0.02621403
-1.94500000  0.98549998  0.26190996  0.03092675
-1.95000000  0.98624998  0.25504999  0.03678729
-1.93950000  0.98474997  0.21082784  0.02041103
-1.94850000  0.98675001  0.17746378  0.01836266
-1.94900000  0.98675001  0.26489316  0.02963600
-1.94850000  0.98600000  0.29179654  0.04433953
-1.94450000  0.98474997  0.30109795  0.04229432
-1.92750000  0.97950000  0.39836170  0.06516985
-1.94450000  0.98549998  0.24832898  0.02827379
-1.94600000  0.98600000  0.24684617  0.02776154
-1.94450000  0.98525000  0.25360588  0.03117971
-1.94400000  0.98449999  0.32796966  0.04585921
-1.93100000  0.98175001  0.34643880  0.04189021
